%% starting
% Lead: tauZ 1 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 2.002, tauZ2mT = 1.998, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 24.2410 sec
% Demo behave:: state changed from 10 to 13 at 24.3430 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 24.3450 sec
% followed line in 4.377027 sec
% Demo behave:: state changed from 14 to 90 at 28.7230 sec
% Demo behave:: state changed from 90 to 99 at 29.4690 sec
% Demo behave:: state changed from 99 to 0 at 29.4710 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1371
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.10 V)
0.1940 3.04 0.96 0.5045 -0.0228 -2.2439 0.0230 -0.0035 -0.28204 -3.12025 0.46 0.46 1 0 616 578 718 908 893 713 560 563  1 1 1 0.69 0 20 12.04 
0.1960 3.06 0.94 0.5069 -0.0228 -2.2539 0.0234 -0.0036 -0.28523 -3.12000 0.47 0.47 1 0 616 578 711 901 878 711 564 559  1 1 1 0.69 0 20 12.05 
0.1980 2.84 1.16 0.5016 -0.0228 -2.2312 0.0239 -0.0038 -0.29001 -3.11985 0.43 0.43 1 0 602 579 711 920 871 695 551 564  1 1 1 0.69 0 20 12.04 
0.2000 2.76 1.24 0.4951 -0.0228 -2.2036 0.0245 -0.0039 -0.29479 -3.11964 0.42 0.42 1 0 607 581 720 900 871 708 562 561  1 1 1 0.69 0 20 12.04 
0.2020 2.33 1.67 0.4976 -0.0228 -2.2144 0.0248 -0.0040 -0.29798 -3.11939 0.33 0.33 1 0 589 590 730 932 861 704 569 542  1 1 1 0.69 0 20 12.06 
0.2040 2.46 1.54 0.4970 -0.0228 -2.2120 0.0254 -0.0042 -0.30276 -3.11925 0.36 0.36 1 0 600 579 736 929 872 716 575 564  1 1 1 0.70 0 20 12.04 
0.2060 2.77 1.23 0.4922 -0.0228 -2.1913 0.0259 -0.0044 -0.30754 -3.11911 0.42 0.42 1 0 605 576 727 917 875 720 586 570  1 1 1 0.70 0 20 12.06 
0.2080 2.26 1.74 0.4863 -0.0228 -2.1663 0.0263 -0.0045 -0.31072 -3.11888 0.32 0.32 1 0 577 574 734 940 868 693 574 553  1 1 1 0.69 0 20 12.06 
0.2100 2.05 1.95 0.4881 -0.0228 -2.1738 0.0268 -0.0047 -0.31550 -3.11858 0.28 0.28 1 0 596 568 738 948 855 684 574 549  1 1 1 0.69 0 20 12.05 
0.2120 2.21 1.79 0.4876 -0.0228 -2.1718 0.0273 -0.0048 -0.32028 -3.11821 0.31 0.31 1 0 605 570 732 941 859 689 581 572  1 1 1 0.69 0 20 12.05 
